Label	ImageSource
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\11d59b-20060922-holdingcarp.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\1200px-Cyprinus_carpio.jpeg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\1537456296JuMdXJU0ro.jpeg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\15746739575887_277_main.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\24296403_1669913733074745_3612940420407254626_n-1_5c59cd96.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\9a23ae5568515902c373b8dc5553e58f.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\carpfarm_lake_btw_revealed_berry_jansen_header-1050x644.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\Fisherman-Slovakia-grass-carp.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\IMG_2098.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\Lake-Heritage-scaley-mirror-carp-e1572367256440.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\LongIsland-Carp.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\maxresdefault (1).jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\maxresdefault.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\pete-castle-carp-fishing-on-small-waters.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\r0_89_1732_1155_w1200_h678_fmax.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\Rectangle_the_mirror_carp_at_12lb_8oz.jpg
Carp	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Carp\younger-194-04-1-image-carousel.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\883e099718950f2e8d670954e2539ac3.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\big-march-pike_031019.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\blog-2.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\Csanda-Canadian_Pike1FEATURE1200x8001.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\DSC0091.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\get-paid-to-fish-for-northern-pike-credit-jamie-leary.png
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\Gord-Pyzer1-1.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\maxresdefault.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\new-dutch-record-pike_627x304_1045.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\Pike-533x400.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\Pike-on-glass.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\pike-sweden-1.1.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\TEINHRIBR5C4U357MU27URHQOA.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\unnamed (1).jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\unnamed.jpg
Pike	C:\Users\Davey\OneDrive - Office 365 Fontys\Individuele Opdracht\S63-1\ML\Fishare - ML - Project\Assets\Pike\WisniewskiPike1500x1000.jpg